Id,OverallQual,TotalBsmtSF,GrLivArea,FullBath,KitchenQual,GarageCars,Antiquity,SalePrice
1,7,856,1710,2,1.61,2,5,208500
2,6,1262,1262,2,1.61,2,31,181500
3,7,920,1786,2,1.61,2,6,223500
4,7,756,1717,1,1.61,3,36,140000
5,8,1145,2198,2,1.61,3,8,250000
6,5,796,1362,1,1.61,2,14,143000
7,8,1686,1694,2,1.61,2,2,307000
8,7,1107,2090,2,1.61,2,36,200000
9,7,952,1774,2,1.61,2,58,129900
10,5,991,1077,1,1.61,1,58,118000
11,5,1040,1040,1,1.61,1,43,129500
12,9,1175,2324,3,3.14,3,0,345000
13,5,912,912,1,1.61,1,46,144000
14,7,1494,1494,2,1.61,3,0,279500
15,6,1253,1253,1,1.61,1,48,157000
16,7,832,854,1,1.61,2,6,132000
17,6,1004,1004,1,1.61,2,40,149000
18,4,0,1296,2,1.61,2,39,90000
19,5,1114,1114,1,1.61,2,4,159000
20,5,1029,1339,1,1.61,1,44,139000
21,8,1158,2376,3,1.61,3,0,325300
22,7,637,1108,1,1.61,1,57,139400
23,8,1777,1795,2,1.61,2,6,230000
24,5,1040,1060,1,1.61,2,31,129900
25,5,1060,1060,1,1.61,1,9,154000
26,8,1566,1600,2,1.61,3,2,256300
27,5,900,900,1,1.61,2,10,134800
28,8,1704,1704,2,1.61,3,2,306000
29,5,1484,1600,1,1.61,1,9,207500
30,4,520,520,1,1.0,1,58,68500
31,4,649,1317,1,1.61,1,58,40000
32,5,1228,1228,1,1.61,1,2,149350
33,8,1234,1234,2,1.61,2,1,179900
34,5,1398,1700,1,1.61,2,51,165500
35,9,1561,1561,2,3.14,2,2,277500
36,8,1117,2452,3,1.61,3,1,309000
37,5,1097,1097,1,1.61,2,14,145000
38,5,1297,1297,1,1.61,2,19,153000
39,5,1057,1057,1,1.61,1,3,109000
40,4,0,1152,2,1.0,0,53,82000
41,6,1088,1324,2,1.61,2,41,160000
42,5,1350,1328,1,1.61,1,48,170000
43,5,840,884,1,1.61,2,24,144000
44,5,938,938,1,1.61,1,28,130250
45,5,1150,1150,1,1.61,1,47,141000
46,9,1752,1752,2,3.14,2,5,319900
47,7,1434,2149,1,1.61,2,6,239686
48,8,1656,1656,2,1.61,3,1,249700
49,4,736,1452,2,1.61,0,1,113000
50,5,955,955,1,1.61,1,41,127000
51,6,794,1470,2,1.61,2,10,177000
52,6,816,1176,1,1.61,2,56,114500
53,5,816,816,1,1.61,2,47,110000
55,5,384,1360,1,1.61,2,52,130000
56,6,1425,1425,2,1.61,2,44,180500
57,8,970,1739,2,1.61,2,9,172500
58,7,860,1720,2,1.61,2,2,196500
59,10,1410,2945,3,1.61,3,0,438780
60,5,780,780,1,1.61,1,36,124900
61,6,1158,1158,1,1.61,2,2,158000
62,5,530,1111,1,1.0,1,11,101000
63,8,1370,1370,2,1.61,2,1,202500
64,7,576,1710,2,1.61,2,60,140000
65,7,1057,2034,2,1.61,2,11,219500
66,8,1143,2473,2,1.61,3,2,317000
67,7,1947,2207,2,1.61,2,21,180000
68,7,1453,1479,2,1.61,2,4,226000
69,4,747,747,1,1.61,1,60,80000
70,7,1304,2287,2,1.61,2,53,225000
71,7,2223,2223,2,1.61,2,34,244000
72,4,845,845,1,1.61,2,1,129500
73,7,832,1718,2,1.61,2,11,185000
74,5,1086,1086,1,1.61,2,7,144900
75,3,840,1605,2,1.61,1,60,107400
76,4,462,988,1,1.61,1,36,91000
77,4,952,952,1,1.61,1,52,135750
78,5,672,1285,1,1.61,1,7,127000
79,4,1768,1768,2,1.61,0,42,136500
80,5,440,1230,1,1.61,2,28,110000
81,6,896,2142,2,1.61,1,41,193500
82,6,1237,1337,2,1.61,2,8,153500
83,8,1563,1563,2,1.61,3,1,245000
84,5,1065,1065,1,1.61,2,47,126500
85,7,384,1474,2,1.61,2,13,168500
86,8,1288,2417,2,1.61,2,14,260000
87,6,684,1560,2,1.61,2,4,174000
88,6,612,1224,2,1.61,2,0,164500
89,3,1013,1526,1,1.0,0,27,85000
90,4,990,990,1,1.61,0,12,123600
91,4,0,1040,1,1.61,2,56,109900
92,5,1235,1235,1,1.61,2,45,98600
93,5,876,964,1,1.61,2,3,163500
94,6,1214,2291,2,1.61,2,9,133900
95,6,824,1786,2,1.61,2,10,204750
96,6,680,1470,2,1.61,2,16,185000
97,7,1588,1588,2,1.61,2,7,214000
98,4,960,960,1,1.61,1,42,94750
99,5,458,835,1,1.61,1,60,83000
100,4,950,1225,1,1.61,0,51,128950
101,6,1610,1610,2,1.61,2,9,205000
102,6,741,1732,2,1.61,2,25,178000
103,5,0,1535,2,1.61,2,30,118964
104,7,1226,1226,2,1.61,3,1,198900
105,7,1040,1818,1,1.61,1,57,169500
106,8,1053,1992,2,1.61,2,4,250000
107,4,641,1047,1,1.61,1,12,100000
108,5,789,789,1,1.61,1,58,115000
109,5,793,1517,2,1.0,0,2,115000
110,6,1844,1844,2,1.61,2,33,190000
111,6,994,1855,2,1.61,1,34,136900
112,7,384,1430,2,1.61,2,10,180000
113,7,1264,2696,2,3.14,3,0,383970
114,6,1809,2259,2,1.61,2,54,217000
115,6,1028,2320,2,1.61,1,5,259500
116,6,729,1458,2,1.61,2,8,176000
117,5,1092,1092,1,1.61,1,47,139000
118,5,1125,1125,1,1.61,2,0,155000
119,7,1673,3222,3,1.61,3,20,320000
120,6,728,1456,2,1.61,2,0,163990
121,6,938,988,1,1.61,2,37,180000
122,4,732,1123,1,1.61,1,57,100000
123,6,1080,1080,1,1.61,1,50,136000
124,6,1199,1199,2,1.61,2,15,153900
125,6,1362,1586,2,1.61,2,11,181000
126,6,520,754,1,1.61,0,24,84500
127,6,1078,958,2,1.61,2,31,128000
128,5,672,840,1,1.61,0,57,87000
129,6,660,1348,1,1.61,2,40,155000
130,5,1008,1053,1,3.14,2,15,150000
131,7,924,2157,2,1.61,2,40,226000
132,6,992,2054,2,1.61,2,9,244000
133,5,1063,1327,1,1.61,2,5,150750
134,8,1267,1296,2,1.61,2,7,220000
135,5,1461,1721,2,1.61,2,13,180000
136,7,1304,1682,2,1.61,2,38,174000
137,5,1214,1214,2,1.61,1,40,143000
138,7,1907,1959,3,1.61,3,17,171000
139,8,1004,1852,2,1.61,3,8,230000
140,6,928,1764,2,1.61,2,12,231500
141,4,864,864,1,1.61,0,39,115000
142,7,1734,1734,2,1.61,2,1,260000
143,5,910,1385,2,1.61,2,58,166000
144,7,1490,1501,2,1.61,2,10,204000
145,5,1728,1728,2,1.61,2,43,125000
146,6,970,1709,2,1.61,2,0,130000
147,5,715,875,1,1.61,1,16,105000
148,7,884,2035,2,1.61,2,9,222500
149,7,1080,1080,1,1.61,0,3,141000
150,5,896,1344,1,1.61,1,56,115000
151,5,969,969,1,1.61,2,32,122000
152,8,1710,1710,2,1.61,3,0,372402
153,6,825,1993,2,1.61,2,35,190000
154,6,1602,1252,1,1.61,2,33,235000
155,6,1200,1200,1,1.61,1,56,125000
156,6,572,1096,1,1.61,0,58,79000
157,5,0,1040,1,1.61,2,56,109500
158,8,774,1968,2,3.14,3,0,269500
159,7,991,1947,2,1.61,2,5,254900
160,7,1392,2462,2,1.61,2,0,320000
161,6,1232,1232,2,1.61,2,24,162500
162,9,1572,2668,2,3.14,3,4,412500
163,7,1541,1541,2,1.61,2,5,220000
164,4,882,882,1,1.61,0,51,103200
165,6,1149,1616,2,1.61,1,3,152000
166,5,644,1355,2,1.61,0,9,127500
167,5,1617,1867,1,1.61,1,16,190000
168,8,1582,2161,1,3.14,3,0,325624
169,7,840,1720,2,1.61,2,3,183500
170,8,1686,1707,2,1.61,2,25,228000
171,5,720,1382,1,1.61,2,57,128500
173,7,1064,1767,2,1.61,2,19,239000
174,6,1362,1362,1,1.61,2,47,163000
175,6,1606,1651,2,1.61,2,22,184000
176,6,1202,2158,2,1.61,2,6,243000
177,6,1151,2060,2,1.61,2,18,211000
178,5,1052,1920,2,1.61,2,48,172500
179,9,2216,2234,2,3.14,3,0,501837
180,5,968,968,1,1.61,2,1,100000
181,6,756,1525,2,1.61,2,7,177000
182,7,793,1802,1,1.61,1,56,200100
183,5,0,1340,1,1.61,1,1,120000
184,7,1362,2082,2,1.61,2,5,200000
185,5,504,1252,1,1.61,2,15,127000
186,10,1107,3608,2,3.14,3,13,475000
187,7,1188,1217,2,1.61,2,18,173000
188,5,660,1656,2,1.61,1,22,135000
189,5,1086,1224,0,1.61,2,30,153337
190,8,1593,1593,1,3.14,2,6,286000
191,8,853,2727,2,1.61,2,13,315000
192,7,725,1479,1,1.61,2,3,184000
193,7,1431,1431,2,1.61,2,10,192000
194,7,970,1709,2,1.61,2,2,130000
195,5,864,864,1,1.61,1,36,127000
196,6,855,1456,2,1.61,2,33,148500
197,7,1726,1726,2,3.14,3,0,311872
199,6,755,2229,1,1.61,0,59,104000
200,8,1713,1713,2,3.14,3,4,274900
201,4,1121,1121,2,1.61,2,6,140000
202,6,1196,1279,2,1.61,2,31,171500
203,6,617,1310,2,1.61,1,56,112000
204,6,848,848,1,1.61,2,4,149000
205,5,720,1284,1,1.61,1,59,110000
206,7,1424,1442,2,1.61,2,19,180500
207,5,1140,1696,1,1.61,1,45,143900
208,4,1100,1100,1,1.61,1,48,141000
209,7,1157,2062,2,1.61,2,18,277000
210,6,1092,1092,1,1.61,2,44,145000
211,5,864,864,1,1.61,0,58,98000
212,6,1212,1212,2,1.61,2,1,186000
213,7,900,1852,2,1.61,2,0,252678
214,5,990,990,1,1.61,2,11,156000
215,6,689,1392,1,1.61,1,33,161750
216,5,1070,1236,1,1.61,1,10,134450
217,7,1436,1436,2,1.61,2,4,210000
218,4,686,1328,1,1.61,1,56,107000
219,7,798,1954,1,1.61,2,2,311500
220,7,1248,1248,2,1.61,2,0,167240
221,7,1498,1498,2,1.61,2,0,204900
222,6,1010,2267,2,1.61,2,7,200000
223,6,713,1552,2,1.61,2,31,179900
224,4,864,864,1,1.61,2,38,97000
225,10,2392,2392,2,3.14,3,6,386250
226,5,630,1302,2,1.61,1,38,112000
227,7,1203,2520,2,1.61,3,12,290000
228,6,483,987,1,1.61,1,38,106000
229,5,912,912,1,1.61,1,43,125000
230,7,1373,1555,2,1.61,2,3,192500
231,6,1194,1194,1,1.61,1,51,148000
232,8,1462,2794,2,3.14,3,13,403000
233,6,483,987,1,1.61,1,34,94500
234,5,894,894,1,1.61,1,34,128200
235,6,860,1960,2,1.61,2,8,216500
236,6,483,987,1,1.61,1,37,89500
237,7,1414,1414,2,1.61,2,6,185500
238,7,996,1744,2,1.61,2,7,194500
239,8,1694,1694,2,1.61,3,0,318000
240,6,735,1487,1,1.61,1,60,113000
241,8,1566,1566,2,1.61,2,2,262500
242,5,686,866,1,1.61,0,10,110500
243,5,540,1440,1,1.61,1,56,79000
244,6,626,1217,1,1.61,1,29,120000
245,7,948,2110,2,1.61,2,8,205000
246,7,1845,1872,2,1.61,2,18,241500
247,6,1020,1928,2,1.0,1,56,137000
248,6,1367,1375,1,1.61,2,52,140000
249,7,840,1668,2,1.61,2,4,180000
251,3,728,1306,1,1.0,0,44,76500
252,8,1573,1625,2,1.61,2,0,235000
253,6,798,1640,2,1.61,2,4,173000
254,6,1302,1302,2,1.61,1,16,158000
255,5,1314,1314,1,1.61,1,53,145000
256,7,975,2291,2,1.61,2,7,230000
257,6,864,1728,2,1.61,2,5,207500
258,7,1604,1604,2,1.61,2,3,220000
259,7,963,1792,2,1.61,2,7,231500
260,5,0,882,1,1.61,1,52,97000
261,6,1362,1382,1,1.61,2,47,176000
262,8,1482,2574,2,3.14,3,0,276000
263,6,506,1212,1,1.61,2,11,151000
264,5,926,1316,1,1.61,2,9,130000
265,5,680,764,1,1.61,2,4,73000
266,6,1422,1422,2,1.61,2,27,175500
267,6,802,1511,2,1.61,2,9,185000
268,5,720,2192,2,1.61,1,11,179500
269,5,740,778,1,1.61,1,53,120500
270,6,1143,1113,1,1.61,1,31,148000
271,8,1095,1939,2,1.61,3,0,266000
273,8,1152,2270,2,1.61,3,3,290000
274,6,1240,1632,2,1.61,1,21,139000
275,5,816,816,1,1.61,1,25,124500
276,7,952,1548,2,3.14,2,2,205000
277,7,1560,1560,2,1.61,2,7,201000
278,4,864,864,1,1.61,2,59,141000
279,9,2121,2121,2,3.14,3,0,415298
280,7,1160,2022,2,1.61,2,31,192000
281,7,807,1982,2,1.61,2,18,228500
282,6,1262,1262,2,1.61,2,0,185000
283,7,1314,1314,2,1.61,2,1,207500
284,8,1468,1468,2,1.61,3,0,244600
285,6,1575,1575,2,1.61,2,15,179200
286,7,625,1250,2,1.61,2,0,164700
287,6,912,1734,1,1.61,2,25,159000
288,4,858,858,1,1.61,0,35,88000
289,5,882,900,1,1.61,1,43,122000
290,6,698,1396,1,1.61,1,4,153575
291,8,1079,1919,2,1.61,2,0,233230
292,5,780,1716,2,1.0,0,8,135900
293,5,768,1716,1,1.61,1,1,131000
294,7,795,2263,2,1.61,2,12,235000
295,6,1416,1644,1,1.61,2,56,167000
296,6,1003,1003,1,1.61,2,22,142500
297,5,910,1558,1,1.61,1,57,152000
298,7,975,1950,2,1.61,2,9,239000
299,6,702,1743,1,1.61,2,39,175000
300,6,1092,1152,1,1.61,1,5,158500
301,5,1165,1336,1,1.61,1,53,157000
302,8,1028,2452,2,1.61,2,8,267000
303,7,1541,1541,2,1.61,3,4,205000
304,5,894,894,1,1.61,2,34,149900
305,7,1470,3493,3,1.61,3,6,295000
306,8,2000,2000,2,1.61,3,2,305900
307,7,700,2243,2,1.61,3,16,225000
308,6,319,1406,1,1.0,0,58,89500
309,4,861,861,1,1.61,2,59,82500
310,9,1896,1944,2,3.14,3,2,360000
311,6,697,1501,2,1.61,2,12,165600
312,6,972,972,1,1.61,1,7,132000
313,5,793,1118,1,1.61,2,56,119900
315,7,728,1641,1,3.14,2,16,178000
316,7,716,1432,2,1.61,2,4,188500
317,7,845,2353,2,3.14,2,29,260000
318,8,1088,1959,2,1.61,3,1,270000
319,7,1347,2646,2,1.61,3,16,260000
320,7,1372,1472,2,1.61,2,29,187500
321,9,1249,2596,3,1.61,3,0,342643
322,8,1136,2468,2,1.61,3,3,354000
323,7,1502,2730,2,1.61,2,20,301000
324,3,1162,1163,1,1.61,1,1,126175
325,7,710,2978,2,1.61,2,3,242000
326,5,720,803,1,1.61,2,57,87000
327,8,1719,1719,1,1.61,2,15,324000
328,6,1383,1383,1,1.61,1,46,145250
329,6,844,2134,2,1.61,2,15,214500
330,5,596,1192,1,1.61,1,59,78000
331,5,1728,1728,2,1.61,1,43,119000
332,5,1056,1056,1,1.61,1,15,139000
333,8,3206,1629,2,1.61,3,5,284000
334,7,1358,1358,2,1.61,2,4,207000
335,6,943,1638,2,1.61,2,10,192000
337,9,1922,1922,2,1.61,3,1,377426
338,7,1536,1536,2,1.61,2,5,214000
339,7,1208,1621,2,1.61,2,8,202500
340,6,1215,1215,1,1.61,1,11,155000
341,8,967,1908,2,1.61,2,8,202900
342,4,721,841,1,1.61,1,59,82000
343,3,0,1040,2,1.61,2,56,87500
344,9,1684,1684,2,3.14,2,3,266000
345,5,536,1112,1,1.61,1,34,85000
346,6,972,1577,1,1.0,1,56,140200
347,6,958,958,1,1.61,1,9,151500
348,6,1478,1478,2,1.61,2,49,157500
349,7,764,1626,2,1.61,2,4,154000
350,9,1848,2728,2,3.14,3,0,437154
351,9,1869,1869,2,3.14,2,0,318061
352,7,1453,1453,1,1.61,2,20,190000
353,5,616,1111,1,1.61,1,58,95000
354,6,624,720,1,1.61,2,7,105900
355,6,940,1595,1,1.61,1,6,140000
356,6,1200,1200,2,1.61,2,12,177500
357,6,1158,1167,2,1.61,2,17,173000
358,5,1142,1142,1,1.61,2,31,134000
359,5,1062,1352,1,1.61,1,48,130000
360,8,1086,1924,2,1.61,2,8,280000
361,6,888,912,1,1.61,2,29,156000
362,5,883,1505,1,1.61,1,26,145000
363,7,0,1922,3,1.61,2,6,198500
364,6,483,987,1,1.61,1,2,118000
365,6,796,1574,2,1.61,2,30,190000
366,5,672,1344,1,1.61,1,12,147000
367,6,1394,1394,1,1.61,2,46,159000
368,6,1099,1431,1,1.61,1,46,165000
369,5,1268,1268,1,1.61,1,56,132000
370,5,1063,1287,1,1.61,2,4,162000
371,6,953,1664,2,1.61,2,6,172400
372,4,0,1588,2,1.61,2,49,134432
373,6,744,752,1,1.61,1,26,125000
374,5,608,1319,1,1.61,1,56,123000
375,7,847,1928,2,1.61,2,3,219500
376,1,683,904,0,1.0,0,59,61000
377,5,870,914,1,1.61,2,10,148000
378,8,1580,2466,3,1.61,2,2,340000
379,9,1856,1856,1,3.14,3,0,394432
380,6,982,1800,2,1.61,2,9,179000
381,5,1026,1691,2,1.61,1,60,127000
382,7,1293,1301,2,1.61,2,0,187750
383,7,939,1797,2,1.61,2,1,213500
384,6,784,784,1,1.61,2,59,76000
386,8,1256,1269,2,1.61,2,5,192000
387,5,658,1184,1,1.61,0,10,81000
388,6,1041,1125,1,1.61,1,33,125000
389,7,1468,1479,2,1.61,2,8,191000
390,10,1682,2332,2,3.14,3,0,426000
391,5,861,1367,1,1.61,1,58,119000
392,6,804,1961,2,1.61,2,7,215000
393,5,0,882,1,1.61,1,48,106500
394,4,788,788,1,1.61,0,56,100000
395,5,735,1034,1,1.61,1,57,109000
396,5,1144,1144,1,1.61,1,54,129000
397,5,894,894,1,1.61,2,37,123000
398,5,864,1812,2,1.61,1,45,169500
399,5,961,1077,1,1.61,1,57,67000
400,7,1092,1550,2,1.61,2,2,241000
401,8,1260,1288,1,3.14,2,12,245500
402,7,1310,1310,2,1.61,2,1,164990
403,5,672,672,1,1.61,1,11,108000
404,8,1141,2263,2,1.61,2,8,258000
405,6,806,1572,2,1.61,2,11,168000
406,4,1281,1620,2,1.61,2,16,150000
407,6,1064,1639,1,1.61,1,58,115000
408,6,840,1680,2,1.61,1,32,177000
409,7,1063,2172,2,1.61,3,1,280000
410,8,1034,2078,2,3.14,3,0,339750
411,5,1276,1276,1,1.61,1,51,60000
413,7,1470,1478,2,1.61,2,1,222000
414,5,1008,1028,1,1.61,2,60,115000
415,7,1080,2097,2,1.61,3,15,228000
416,7,1340,1340,2,1.61,2,0,181134
417,6,672,1400,1,1.61,2,28,149500
418,6,1370,2624,2,1.61,3,57,239000
419,5,756,1134,1,1.61,1,57,126000
420,5,1056,1056,1,1.61,1,42,142000
421,7,1344,1344,2,1.61,4,10,206300
422,6,1602,1602,2,1.61,2,9,215000
423,5,988,988,1,1.61,2,54,113000
424,8,1470,2630,2,1.61,3,10,315000
425,6,1196,1196,1,1.61,1,52,139000
426,7,651,1389,1,1.61,1,17,135000
427,7,1518,1644,2,1.61,2,20,275000
428,4,907,907,1,1.61,1,51,109008
429,7,1208,1208,2,1.61,2,0,195400
430,6,1392,1412,2,1.61,2,21,175000
431,6,483,987,1,1.61,1,37,85400
432,6,901,1198,1,1.61,0,10,79900
433,5,765,1365,1,1.61,2,36,122500
434,6,926,1604,2,1.61,2,10,181000
435,4,630,630,1,1.61,0,36,81000
436,7,799,1661,2,1.61,2,13,212000
437,6,648,1118,1,1.61,2,56,116000
438,6,884,904,1,1.61,1,5,119000
439,5,440,694,1,1.61,1,5,90350
440,6,684,1196,1,1.61,2,9,110000
441,10,3094,2402,2,3.14,3,1,555000
442,4,1440,1440,2,1.0,0,53,118000
443,5,1078,1573,2,1.61,2,16,162900
444,7,1258,1258,2,1.61,3,0,172500
445,7,915,1908,2,1.61,2,13,210000
446,6,1436,1689,1,1.61,2,53,127500
447,6,1517,1888,2,1.61,2,8,190000
448,7,930,1886,2,1.61,2,7,199900
449,6,780,1376,2,1.61,1,56,119500
450,3,649,1183,1,1.61,1,5,120000
451,6,813,813,1,1.61,1,1,110000
453,6,872,1756,2,1.61,2,10,204000
454,8,768,1590,2,1.61,2,1,210000
455,5,1728,1728,2,1.61,2,30,188000
456,7,1242,1242,1,1.61,2,34,175500
457,5,624,1344,1,1.61,3,58,98000
459,8,588,1666,1,1.61,1,12,161000
460,5,709,1203,1,1.61,1,59,110000
461,8,832,1935,2,1.61,2,0,263435
462,7,560,1135,1,1.61,2,2,155000
463,5,864,864,1,1.61,1,44,62383
464,6,715,1660,1,1.61,1,13,188700
465,5,1040,1040,2,1.61,0,31,124000
466,7,1375,1414,2,1.61,2,2,178740
467,7,1277,1277,1,1.61,2,37,167000
468,5,728,1644,1,1.61,1,12,146500
469,8,1626,1634,2,1.61,3,1,250000
470,6,832,1710,2,1.61,2,15,187000
471,8,1488,1502,1,1.61,2,25,212000
472,7,808,1969,2,1.61,2,30,190000
473,6,547,1072,1,1.61,2,3,148000
474,8,1976,1976,2,1.61,3,0,440000
475,8,1494,1652,2,3.14,2,7,251000
476,5,970,970,1,1.61,2,44,132500
477,6,1478,1493,2,1.61,2,10,208900
478,9,2153,2643,2,3.14,3,1,380000
479,8,1705,1718,2,1.61,3,1,297000
480,4,907,1131,1,1.61,2,7,89471
481,9,1833,1850,2,1.61,3,1,326000
482,9,1792,1792,2,3.14,3,2,374000
483,7,910,1826,1,3.14,1,4,155000
484,6,1216,1216,2,1.61,2,8,164000
485,5,999,999,1,1.61,1,6,132500
486,5,1113,1113,1,1.61,1,2,147000
487,5,1073,1073,1,1.61,2,42,156000
488,5,1484,1484,2,1.61,2,36,175000
489,5,954,2414,2,1.61,2,36,160000
490,4,630,630,1,1.61,1,7,86000
491,5,264,1304,1,1.61,1,32,115000
